Type,Server,Category,Name,Description,Status,Path,Created,LastUpdated
Command,assistant,Documentation,/coderef-docs-agent,Activate the coderef-docs-agent persona - documentation and planning specialist with deep expertise,active,C:\Users\willh\.claude\commands\coderef-docs-agent.md,2025-12-28T20:23:36.490292,2025-12-28T20:23:36.490292
Command,assistant,Documentation,/coderef-foundation-docs,Generate comprehensive foundation documentation powered by coderef analysis.,active,C:\Users\willh\.claude\commands\coderef-foundation-docs.md,2025-12-27T17:51:16.121949,2025-12-27T17:51:16.143826
Command,assistant,Documentation,/generate-agent-communication,Generate multi-agent communication.json from plan.json,active,C:\Users\willh\.claude\commands\generate-agent-communication.md,2025-12-27T17:55:29.579359,2025-12-27T17:55:29.612120
Command,assistant,Documentation,/generate-deliverables,Generate DELIVERABLES.md template for a feature from its plan.json file.,active,C:\Users\willh\.claude\commands\generate-deliverables.md,2025-12-27T17:53:38.059133,2025-12-27T17:53:38.088436
Command,assistant,Documentation,/generate-docs,Generate foundation documentation for the current project using the POWER framework templates with r,active,C:\Users\willh\.claude\commands\generate-docs.md,2025-12-27T22:10:44.334974,2025-12-27T22:10:44.334974
Command,assistant,Documentation,/generate-handoff-context,Generate automated agent handoff context for current feature.,active,C:\Users\willh\.claude\commands\generate-handoff-context.md,2025-12-27T17:55:29.816026,2025-12-27T17:55:29.845691
Command,assistant,Documentation,/generate-user-docs,Generate all 4 user-facing documentation files for the current project using the POWER framework tem,active,C:\Users\willh\.claude\commands\generate-user-docs.md,2025-12-28T01:56:54.607298,2025-12-28T01:56:54.607298
Command,assistant,Documentation,/get-template,Get the content of a specific POWER framework documentation template.,active,C:\Users\willh\.claude\commands\get-template.md,2025-12-27T17:49:19.733908,2025-12-27T17:49:19.761195
Command,assistant,Documentation,/list-templates,List all available POWER framework documentation templates.,active,C:\Users\willh\.claude\commands\list-templates.md,2025-12-27T17:47:30.463402,2025-12-27T17:47:30.491801
Command,assistant,Documentation,/update-docs,Update all project documentation after feature completion.,active,C:\Users\willh\.claude\commands\update-docs.md,2025-12-27T17:51:16.036520,2025-12-27T17:51:16.068820
Command,assistant,Documentation,/update-foundation-docs,Update foundation documentation after implementing a feature.,active,C:\Users\willh\.claude\commands\update-foundation-docs.md,2025-12-27T17:51:16.082905,2025-12-27T17:51:16.101636
Command,assistant,General,/aggregate-agent-deliverables,Aggregate metrics from multiple agent DELIVERABLES.md files,active,C:\Users\willh\.claude\commands\aggregate-agent-deliverables.md,2025-12-27T17:55:29.724109,2025-12-27T17:55:29.754986
Command,assistant,General,/archive-feature,Archive completed features from coderef/workorder/ to coderef/archived/.,active,C:\Users\willh\.claude\commands\archive-feature.md,2025-12-27T17:53:37.927476,2025-12-27T17:53:37.957958
Command,assistant,General,/assign-agent-task,Assign specific task to agent with workorder scoping,active,C:\Users\willh\.claude\commands\assign-agent-task.md,2025-12-27T17:55:29.626736,2025-12-27T17:55:29.656462
Command,assistant,General,/coderef-assistant,"Activate CodeRef Assistant, the Orchestrator persona",active,C:\Users\willh\.claude\commands\coderef-assistant.md,2025-12-27T18:05:00.332266,2025-12-27T18:05:00.359982
Command,assistant,General,/coderef-context-agent,Activate the coderef-context-agent persona - code intelligence specialist with deep expertise in the,active,C:\Users\willh\.claude\commands\coderef-context-agent.md,2025-12-28T20:23:36.452666,2025-12-28T20:23:36.453667
Command,assistant,General,/coderef-mcp-lead,Activate the coderef-mcp-lead persona - lead system architect with deep knowledge of all 5 MCP serve,active,C:\Users\willh\.claude\commands\coderef-mcp-lead.md,2025-12-28T18:41:01.801981,2025-12-28T18:41:01.803859
Command,assistant,General,/compare-runs,# Compare Runs,active,C:\Users\willh\.claude\commands\compare-runs.md,2025-12-27T19:23:37.223274,2025-12-27T19:23:37.223274
Command,assistant,General,/create-resource-sheet,# Create Resource Sheet - Agent Instruction Template,active,C:\Users\willh\.claude\commands\create-resource-sheet.md,2026-01-12T11:52:51.456495,2026-01-12T11:52:51.456495
Command,assistant,General,/debug-ui,Debug UI issues using Chrome DevTools MCP with Ava's frontend expertise,active,C:\Users\willh\.claude\commands\debug-ui.md,2025-12-27T18:05:00.287318,2025-12-27T18:05:00.315369
Command,assistant,General,/establish-standards,Extract coding standards from the current project by scanning for UI/UX/behavior patterns.,active,C:\Users\willh\.claude\commands\establish-standards.md,2025-12-27T17:50:03.636445,2025-12-27T17:50:03.662836
Command,assistant,General,/features-inventory,Generate features inventory for the current project.,active,C:\Users\willh\.claude\commands\features-inventory.md,2025-12-27T17:55:36.784272,2025-12-27T17:55:36.814282
Command,assistant,General,/fix,"Lightweight workflow for small changes that don't need full planning - workflow tweaks, config updat",active,C:\Users\willh\.claude\commands\fix.md,2025-12-27T17:55:36.829347,2025-12-27T17:55:36.858078
Command,assistant,General,/gather-context,Gather feature requirements and context before planning implementation using interactive AskUserQues,active,C:\Users\willh\.claude\commands\gather-context.md,2025-12-27T17:52:08.626152,2025-12-27T17:52:08.652455
Command,assistant,General,/git-release,Create a git release with tag and changelog-based release notes.,active,C:\Users\willh\.claude\commands\git-release.md,2025-12-27T17:51:16.165040,2025-12-27T17:51:16.198517
Command,assistant,General,/list-frameworks,# List Frameworks,active,C:\Users\willh\.claude\commands\list-frameworks.md,2025-12-27T19:23:37.288784,2025-12-27T19:23:37.288784
Command,assistant,General,/record-changes,Smart agentic changelog recording with git auto-detection.,active,C:\Users\willh\.claude\commands\record-changes.md,2025-12-28T17:06:59.346564,2025-12-28T17:06:59.347919
Command,assistant,General,/research-scout,"Activate the research-scout persona - Research specialist who investigates topics, gathers informati",active,C:\Users\willh\.claude\commands\research-scout.md,2025-12-27T18:05:00.372344,2025-12-27T18:05:00.402881
